setting,d,value_function,eps,lambda_max,A_max,m_certified,m_empirical,exact_threshold,certified_bound,observed_median,observed_max,bound_holds,eps_holds,tightness,t_budget_ms,t_quad_ms,t_exact_s,speedup
"d=100, wide",100,neutral,0.1,2.6166304014929977,15.148688544132463,3,2,50,0.006612083738563917,1.7734720018397487e-05,5.484789538079404e-05,10/10,10/10,328.25045427473344,0.46122900130285416,0.957062498855521,0.006888853999043931,4.80922141949924
"d=100, wide",100,neutral,0.01,2.6166304014929977,15.148688544132463,3,2,50,0.004821651744177709,1.313530518087802e-05,3.3876430107993016e-05,10/10,10/10,349.1041396100228,0.4955000003974419,1.0162290000153007,0.006888853999043931,4.920052491832748
"d=100, wide",100,neutral,0.001,2.6166304014929977,15.148688544132463,4,3,50,5.84447781032411e-05,1.748393351572869e-07,3.0040297271938243e-07,10/10,10/10,446.3263406212967,0.4825830001209397,0.9564164993207669,0.006888853999043931,4.6658956715063304
"d=100, wide",100,neutral,0.0001,2.6166304014929977,15.148688544132463,4,3,50,3.8228316797951276e-05,1.0962031934957928e-07,2.597989072483653e-07,10/10,10/10,248.4686348880154,0.5136250001669396,0.9749374985403847,0.006888853999043931,4.573326944126938
"d=100, wide",100,neutral,1e-06,2.6166304014929977,15.148688544132463,5,4,50,2.980893380631694e-07,9.035026853759787e-08,1.4884733712250409e-07,9/10,10/10,3.5332009234395914,0.5072085004940163,1.1584580006456235,0.006888853999043931,4.159337973164432
"d=100, wide",100,neutral,1e-08,2.6166304014929977,15.148688544132463,6,6,50,1.0209664392613448e-09,8.615752763140028e-08,1.7083354172942045e-07,0/10,0/10,0.012735968364648565,0.5125000006955815,1.2509369989857078,0.006888853999043931,3.9347328195356566
"d=100, narrow",100,neutral,0.1,39.42899735933784,182.37870627611494,10,6,50,0.04654131497309817,3.081343688116078e-05,9.692420073492691e-05,10/10,10/10,1177.7361320934933,0.4400830021040747,1.6824169997562421,0.0065767289997893386,3.1748295135540374
"d=100, narrow",100,neutral,0.01,39.42899735933784,182.37870627611494,11,8,50,0.004453219763589277,2.51244846211085e-06,8.614688642660795e-06,10/10,10/10,2410.5474622099528,0.5082920015411219,1.7655830015428364,0.0065767289997893386,2.9422745837002746
"d=100, narrow",100,neutral,0.001,39.42899735933784,182.37870627611494,12,9,50,0.0003673925042999761,1.3753912616459862e-07,3.575019093537968e-07,10/10,10/10,2532.9095839153933,0.5114375017001294,1.9872294997185236,0.0065767289997893386,2.573062570465743
"d=100, narrow",100,neutral,0.0001,39.42899735933784,182.37870627611494,13,10,50,3.869918668767227e-05,1.3699664211386242e-07,2.2055245780736032e-07,10/10,10/10,263.51655953023055,0.5274579998513218,2.1107080010551726,0.0065767289997893386,2.47950883571645
"d=100, narrow",100,neutral,1e-06,39.42899735933784,182.37870627611494,15,12,50,4.00247735545049e-07,1.3191498885595232e-07,2.4913270058046777e-07,7/10,10/10,2.104507910094358,0.5659170001308667,2.382082999247359,0.0065767289997893386,2.2359429553964985
"d=100, narrow",100,neutral,1e-08,39.42899735933784,182.37870627611494,17,17,50,3.1509161318260538e-09,1.0080842342830021e-07,1.5975926129230267e-07,0/10,0/10,0.027490524854956316,0.5502500007423805,2.5412920003873296,0.0065767289997893386,2.1307244897611417
"d=1000, wide",1000,neutral,0.1,2.274291713062689,3.046205225442472,2,1,500,0.05036911816767272,0.0006927522257451912,0.0012459319548207004,5/5,5/5,72.70870636827017,6.367333000525832,5.2114169993728865,0.23631483300050604,21.41390686773458
"d=1000, wide",1000,neutral,0.01,2.274291713062689,3.046205225442472,3,2,500,0.0006269318726095622,5.835966439965423e-06,1.1257061567793158e-05,5/5,5/5,107.4255445192856,4.6117499987303745,7.170166998548666,0.23631483300050604,18.207943316444354
"d=1000, wide",1000,neutral,0.001,2.274291713062689,3.046205225442472,3,2,500,0.0006269318726095622,5.835966439965423e-06,1.1257061567793158e-05,5/5,5/5,107.4255445192856,4.462082997633843,6.090625000069849,0.23631483300050604,20.466450587157148
"d=1000, wide",1000,neutral,0.0001,2.274291713062689,3.046205225442472,4,3,500,4.032881271596178e-06,7.081936904962394e-08,8.188825595389915e-08,5/5,5/5,72.25492669720444,4.814625001017703,7.525374996475875,0.23631483300050604,18.278599262924384
"d=1000, wide",1000,neutral,1e-06,2.274291713062689,3.046205225442472,5,4,500,1.576455393790233e-08,5.174410894204229e-08,5.950292361611709e-08,0/5,5/5,0.3349643246297427,4.376834000140661,8.484624999255175,0.23631483300050604,16.869893738007768
"d=1000, wide",1000,neutral,1e-08,2.274291713062689,3.046205225442472,6,6,500,4.133727631457057e-11,3.4005264371722577e-08,4.727858236852622e-08,0/5,0/5,0.0010940900318974487,4.4490840009530075,9.39437499982887,0.23631483300050604,15.922415112042072
"d=1000, medium",1000,neutral,0.1,22.114748216549195,26.060352275849446,7,3,500,0.01954869201127162,7.820490561630256e-05,0.00015533122320648962,5/5,5/5,249.96759291780933,4.908458002319094,10.665499998140149,0.2139200419987901,13.865068674902806
"d=1000, medium",1000,neutral,0.01,22.114748216549195,26.060352275849446,8,5,500,0.0020297318846854775,6.6478941768144395e-06,1.3977365006467846e-05,5/5,5/5,305.31952385230227,4.418125001393491,11.667375001707114,0.2139200419987901,13.573785765808784
"d=1000, medium",1000,neutral,0.001,22.114748216549195,26.060352275849446,9,6,500,0.00017255384524422619,4.961579210538414e-07,1.0776064583439826e-06,5/5,5/5,320.44198257275303,4.4850829981442075,13.051999998424435,0.2139200419987901,12.301804326202014
"d=1000, medium",1000,neutral,0.0001,22.114748216549195,26.060352275849446,10,7,500,1.2390164889127237e-05,1.0837470778429781e-07,1.756072912084683e-07,5/5,5/5,125.05206002643956,4.603124998538988,14.26812499994412,0.2139200419987901,11.167357848182457
"d=1000, medium",1000,neutral,1e-06,22.114748216549195,26.060352275849446,11,9,500,7.242585258360024e-07,6.81889459862306e-08,7.849135885695802e-08,4/5,5/5,9.26396425783441,4.546707998088095,15.40466700316756,0.2139200419987901,10.619939977755807
"d=1000, medium",1000,neutral,1e-08,22.114748216549195,26.060352275849446,13,13,500,1.7120883419845424e-09,4.9126187576242764e-08,5.8421183196655235e-08,0/5,0/5,0.039875464401542354,4.523333001998253,17.80683300239616,0.2139200419987901,9.508458733313368
"d=1000, narrow",1000,neutral,0.1,173.40570154466045,143.14565406698586,20,9,500,0.05742423467243746,4.950712355664133e-05,7.219329479088432e-05,5/5,5/5,994.185628044919,5.739374999393476,26.503834000322968,0.2430602499989618,7.439504410190008
"d=1000, narrow",1000,neutral,0.01,173.40570154466045,143.14565406698586,22,14,500,0.008459088329724966,6.3635713965781715e-06,9.722724744892774e-06,5/5,5/5,1092.2285498189337,5.785834000562318,28.444666997529566,0.2430602499989618,6.72785434325909
"d=1000, narrow",1000,neutral,0.001,173.40570154466045,143.14565406698586,25,17,500,0.0004129706106340554,4.148823387617462e-07,6.779837586901039e-07,5/5,5/5,1232.973907230866,5.269875000522006,31.021208000311162,0.2430602499989618,6.786114840070598
"d=1000, narrow",1000,neutral,0.0001,173.40570154466045,143.14565406698586,27,20,500,4.144483773989454e-05,9.106420201243637e-08,1.0572078593118484e-07,5/5,5/5,612.4953303969504,5.302458997903159,33.72812499947031,0.2430602499989618,5.836778623887797
"d=1000, narrow",1000,neutral,1e-06,173.40570154466045,143.14565406698586,30,24,500,8.392162052397939e-07,4.8681191994193185e-08,6.501546551129778e-08,5/5,5/5,13.458995916714624,5.335208999895258,37.63249999974505,0.2430602499989618,5.430977488014117
"d=1000, narrow",1000,neutral,1e-08,173.40570154466045,143.14565406698586,34,34,500,4.092299531877523e-09,3.940926836427938e-08,6.689999538372904e-08,0/5,0/5,0.08907479505027212,5.923499997152248,44.97462500148686,0.2430602499989618,4.5362818067770005
"d=100, interv.",100,interventional,0.1,2.929231210646111,5.12025553060708,3,1,50,0.0038593061382115146,6.105654532968796e-07,3.282197879005133e-06,10/10,10/10,8226.859266637413,2.3507084988523275,3.923041498637758,0.019455271001788788,3.053017590612276
"d=100, interv.",100,interventional,0.01,2.929231210646111,5.12025553060708,3,1,50,0.0038593061382115146,6.105654532968796e-07,3.282197879005133e-06,10/10,10/10,8226.859266637413,2.3604995003552176,3.650583499620552,0.019455271001788788,3.2886641949598507
"d=100, interv.",100,interventional,0.001,2.929231210646111,5.12025553060708,4,2,50,4.109610648905613e-05,2.0490434286812853e-08,3.282132077231381e-08,10/10,10/10,2125.8536186207393,2.464979499563924,4.312207998736994,0.019455271001788788,2.8671578365948616
