setting,d,gamma_times_d,value_function,n_background,instance,eps,lambda_max,A_max,eta,m_certified,m_empirical,exact_threshold,certified_bound,observed_err,bound_holds,eps_holds,tightness,efficiency_residual,t_budget_s,t_quad_s,t_exact_s
"d=100, wide",100,1.0,neutral,0,3,0.0001,2.99655493695234,15.188980514524392,6.5837203428087535e-06,5,3,50,9.444533798694708e-07,1.0810099432267961e-07,True,True,8.736768665145611,,0.0005073749998700805,0.001281083001231309,0.0068815829981758725
"d=100, wide",100,1.0,neutral,0,3,1e-06,2.99655493695234,15.188980514524392,6.583720342808753e-08,5,4,50,9.444533798694708e-07,1.0810099432267961e-07,True,True,8.736768665145611,,0.0005197090031288099,0.001158416001999285,0.0068815829981758725
"d=100, wide",100,1.0,neutral,0,3,1e-08,2.99655493695234,15.188980514524392,6.583720342808753e-10,6,6,50,4.344629041873232e-09,6.99334367637583e-08,False,False,0.06212520423599081,,0.0005516669989447109,0.001246541000000434,0.0068815829981758725
"d=100, wide",100,1.0,neutral,0,4,0.1,2.5243814729478675,18.38408247304539,0.00543948821740869,3,2,50,0.006548608973587706,1.91040038957091e-05,True,True,342.7872507426871,,0.00041408299875911325,0.0009839170015766285,0.006764875000953907
"d=100, wide",100,1.0,neutral,0,4,0.01,2.5243814729478675,18.38408247304539,0.000543948821740869,3,2,50,0.006548608973587706,1.91040038957091e-05,True,True,342.7872507426871,,0.0004627919988706708,0.000805792002211092,0.006764875000953907
"d=100, wide",100,1.0,neutral,0,4,0.001,2.5243814729478675,18.38408247304539,5.43948821740869e-05,4,3,50,5.24762162766889e-05,2.597989072483653e-07,True,True,201.9878252471714,,0.00047591600014129654,0.0009644999990996439,0.006764875000953907
"d=100, wide",100,1.0,neutral,0,4,0.0001,2.5243814729478675,18.38408247304539,5.43948821740869e-06,4,3,50,5.24762162766889e-05,2.597989072483653e-07,True,True,201.9878252471714,,0.0005198750004637986,0.0009151670019491576,0.006764875000953907
"d=100, wide",100,1.0,neutral,0,4,1e-06,2.5243814729478675,18.38408247304539,5.43948821740869e-08,5,4,50,2.5598466353515745e-07,1.252592540801345e-07,True,True,2.043638734838637,,0.0005649589984386694,0.0012329999990470242,0.006764875000953907
"d=100, wide",100,1.0,neutral,0,4,1e-08,2.5243814729478675,18.38408247304539,5.43948821740869e-10,6,6,50,8.383532714796368e-10,1.7083354172942045e-07,False,False,0.004907427797800308,,0.0004930420000164304,0.001386290998198092,0.006764875000953907
"d=100, wide",100,1.0,neutral,0,5,0.1,2.4106324688116443,17.106492887555365,0.005845733585330516,3,1,50,0.004858517376453825,1.2281812468484254e-05,True,True,395.5863508680843,,0.0004130830020585563,0.0008455409988528118,0.006846457999927225
"d=100, wide",100,1.0,neutral,0,5,0.01,2.4106324688116443,17.106492887555365,0.0005845733585330516,3,2,50,0.004858517376453825,1.2281812468484254e-05,True,True,395.5863508680843,,0.0006238749992917292,0.0010486249993846286,0.006846457999927225
"d=100, wide",100,1.0,neutral,0,5,0.001,2.4106324688116443,17.106492887555365,5.845733585330516e-05,4,3,50,3.5568315323038536e-05,2.421502159621891e-07,True,True,146.88533388957373,,0.00046983399806777015,0.0010939579988189507,0.006846457999927225
"d=100, wide",100,1.0,neutral,0,5,0.0001,2.4106324688116443,17.106492887555365,5.8457335853305164e-06,4,3,50,3.5568315323038536e-05,2.421502159621891e-07,True,True,146.88533388957373,,0.0006627500006288756,0.0010455420015205164,0.006846457999927225
"d=100, wide",100,1.0,neutral,0,5,1e-06,2.4106324688116443,17.106492887555365,5.8457335853305156e-08,5,4,50,1.5838901441149165e-07,1.4884733712250409e-07,True,True,1.0641037822607105,,0.000487375000375323,0.001153959001385374,0.006846457999927225
"d=100, wide",100,1.0,neutral,0,5,1e-08,2.4106324688116443,17.106492887555365,5.845733585330516e-10,6,6,50,4.733553361082975e-10,7.71230779655907e-08,False,False,0.006137661366672763,,0.00047991600149543956,0.0012438750018191058,0.006846457999927225
"d=100, wide",100,1.0,neutral,0,6,0.1,2.776075745058097,11.826358116877728,0.008455688472454356,3,1,50,0.006675558503540128,1.6365436141085876e-05,True,True,407.9059333335428,,0.0004920829996990506,0.0009342500015918631,0.006817125002271496
"d=100, wide",100,1.0,neutral,0,6,0.01,2.776075745058097,11.826358116877728,0.0008455688472454356,3,2,50,0.006675558503540128,1.6365436141085876e-05,True,True,407.9059333335428,,0.00047812499906285666,0.00099137500001234,0.006817125002271496
"d=100, wide",100,1.0,neutral,0,6,0.001,2.776075745058097,11.826358116877728,8.455688472454355e-05,4,3,50,6.441333992979329e-05,8.080324484516233e-08,True,True,797.1627878710085,,0.0004705419996753335,0.0008882920010364614,0.006817125002271496
"d=100, wide",100,1.0,neutral,0,6,0.0001,2.776075745058097,11.826358116877728,8.455688472454356e-06,4,3,50,6.441333992979329e-05,8.080324484516233e-08,True,True,797.1627878710085,,0.0005450839998957235,0.0009552499977871776,0.006817125002271496
"d=100, wide",100,1.0,neutral,0,6,1e-06,2.776075745058097,11.826358116877728,8.455688472454355e-08,5,4,50,3.7904760341694994e-07,8.21617073265557e-08,True,True,4.613433870238441,,0.00047308400098700076,0.001158499999291962,0.006817125002271496
"d=100, wide",100,1.0,neutral,0,6,1e-08,2.776075745058097,11.826358116877728,8.455688472454356e-10,6,6,50,1.498838271544647e-09,7.011775918219776e-08,False,False,0.021376014992863433,,0.0004790419989149086,0.0012361249973764643,0.006817125002271496
"d=100, wide",100,1.0,neutral,0,7,0.1,2.6086865144593663,11.444889175510102,0.008737524537501078,3,2,50,0.004784786111901593,1.3988797893271787e-05,True,True,342.0441233340671,,0.0004944159991282504,0.0008413750001636799,0.00689612499991199
"d=100, wide",100,1.0,neutral,0,7,0.01,2.6086865144593663,11.444889175510102,0.0008737524537501078,3,2,50,0.004784786111901593,1.3988797893271787e-05,True,True,342.0441233340671,,0.0004805409989785403,0.000845375001517823,0.00689612499991199
"d=100, wide",100,1.0,neutral,0,7,0.001,2.6086865144593663,11.444889175510102,8.737524537501078e-05,4,3,50,4.088831827286402e-05,7.810726210255581e-08,True,True,523.4893295731855,,0.000498583001899533,0.0009417499968549237,0.00689612499991199
"d=100, wide",100,1.0,neutral,0,7,0.0001,2.6086865144593663,11.444889175510102,8.737524537501079e-06,4,3,50,4.088831827286402e-05,7.810726210255581e-08,True,True,523.4893295731855,,0.000503582999954233,0.0009946249992935918,0.00689612499991199
"d=100, wide",100,1.0,neutral,0,7,1e-06,2.6086865144593663,11.444889175510102,8.737524537501078e-08,5,4,50,2.128294480546938e-07,8.676405484353555e-08,True,True,2.452967976640742,,0.0004982919999747537,0.0011250829993514344,0.00689612499991199
