setting,d,gamma_times_d,value_function,lambda_max,m_q,observed_err,certified_bound,efficiency_residual
"d=100, wide",100,1.0,neutral,2.7459591281032822,1,0.17864512671036958,9.760111176165372,1.4894395325428604
"d=100, wide",100,1.0,neutral,2.7459591281032822,2,0.004097280346746945,0.4466975061930244,0.049966337355137114
"d=100, wide",100,1.0,neutral,2.7459591281032822,3,3.3876430107993016e-05,0.008092989570239618,0.0005192326641649814
"d=100, wide",100,1.0,neutral,2.7459591281032822,4,1.7654112503817654e-07,7.644623459923848e-05,3.8937172179842605e-06
"d=100, wide",100,1.0,neutral,2.7459591281032822,5,7.039003457887105e-08,4.402858378643166e-07,3.4851659602708196e-07
"d=100, wide",100,1.0,neutral,2.7459591281032822,6,1.2668971746676583e-07,1.7037623075989872e-09,2.3186974544842087e-06
"d=100, wide",100,1.0,neutral,2.7459591281032822,7,1.2290808153181398e-07,4.7298657646225445e-12,8.518319853934031e-07
"d=100, wide",100,1.0,neutral,2.7459591281032822,8,1.0743908096522148e-07,9.874476033096547e-15,3.2905588742693226e-07
"d=100, wide",100,1.0,neutral,2.7459591281032822,9,1.0875947528687924e-07,1.606205465869572e-17,3.2044317244128706e-07
"d=100, wide",100,1.0,neutral,2.7459591281032822,10,8.245676724749629e-08,2.0927101051959128e-20,4.3475269428938645e-07
"d=100, wide",100,1.0,neutral,2.7459591281032822,11,6.55963030699036e-08,2.2327999405601487e-23,1.504890052572705e-07
"d=100, wide",100,1.0,neutral,2.7459591281032822,12,8.566869647008701e-08,1.9865272935698543e-26,1.0012700002448582e-08
"d=100, wide",100,1.0,neutral,2.7459591281032822,15,8.903800524651118e-08,5.410862900084999e-36,4.4452467218292213e-07
"d=100, wide",100,1.0,neutral,2.7459591281032822,18,9.117133226155261e-08,4.409403182338109e-46,2.2593716053620483e-07
"d=100, wide",100,1.0,neutral,2.7459591281032822,22,8.694202724424116e-08,3.355020481295978e-60,3.052579895523877e-07
"d=100, wide",100,1.0,neutral,2.7459591281032822,27,9.890943020174348e-08,9.925190574625526e-79,6.091886577408445e-07
"d=100, wide",100,1.0,neutral,2.7459591281032822,33,7.111413431737379e-08,5.087830969233907e-102,4.3035599528451485e-07
"d=100, wide",100,1.0,neutral,2.7459591281032822,41,8.570697741794309e-08,1.5773640159899946e-134,5.504921762877757e-07
"d=100, wide",100,1.0,neutral,2.7459591281032822,50,0.0,0.0,3.2310637809729315e-07
"d=100, narrow",100,30.0,neutral,41.46756930088668,1,1.3359081119504521,1135.2803374948196,4.828999946287995
"d=100, narrow",100,30.0,neutral,41.46756930088668,2,1.3220276722390605,656.2767084560624,4.887678574489092
"d=100, narrow",100,30.0,neutral,41.46756930088668,3,1.0814528104954226,335.21321267544926,5.05620760196077
"d=100, narrow",100,30.0,neutral,41.46756930088668,4,0.6070330447633746,149.34869896398442,3.7904840662034536
"d=100, narrow",100,30.0,neutral,41.46756930088668,5,0.24590892780677076,57.58970673631929,1.9612383504466075
"d=100, narrow",100,30.0,neutral,41.46756930088668,6,0.0758577317515916,19.154809363342007,0.7446152894488725
