d,n_instances,n_points,target_lambda,gamma_times_d,lambda_mean,lambda_sd,lambda_min,lambda_max,m_budget_median,n_informative,coverage,coverage_lower,coverage_informative,median_slack,p90_slack,max_slack,spearman
100,60,540,40.0,29.145733740690048,40.000000000008875,2.0927686578621643,34.350496755350306,45.60205287631333,12.0,361,1.0,0.994467707448163,1.0,2.7841779337475874,4.531093344753203,5.165546248679115,0.960566568157676
500,40,360,40.0,19.409900959100924,40.0000000000046,1.2093218512610706,36.910963193879354,43.28948819644185,12.0,240,1.0,0.9917130491247643,1.0,2.7730009958265307,3.2430880188005013,3.7118124606513416,0.9390449486970258
1000,25,225,40.0,18.97120976007136,39.99999999997654,0.940497962860911,37.90430694809905,41.96825215566552,12.0,150,0.6666666666666666,0.6113107614560529,1.0,2.4984443232463267,2.9961284783522086,3.267230856939263,0.9332848714707123
