d,target_lambda,gamma_times_d,instance,m_q,m_budget_eps,lambda_max,A_max,max_abs_phi,certified,observed,floor,rounding_noise,above_floor,informative,holds,holds_strict,ratio,m_over_lambda
100,40.0,29.145733740690048,1,3,12,37.17731908642496,152.77592857008193,1.4444732108737814,242.3304294257651,0.9981725789067589,2.1005419625907962e-13,1.0502709812953981e-13,True,True,True,True,242.77407990026703,0.0806943608017026
100,40.0,29.145733740690048,1,4,12,37.17731908642496,152.77592857008193,1.4444732108737814,100.70550055144679,0.45507614010619435,2.1005419625907962e-13,1.0502709812953981e-13,True,True,True,True,221.2937389509075,0.10759248106893679
100,40.0,29.145733740690048,1,7,12,37.17731908642496,152.77592857008193,1.4444732108737814,2.7372846376753825,0.006096385820836936,2.1005419625907962e-13,1.0502709812953981e-13,True,True,True,True,449.00121450968095,0.1882868418706394
100,40.0,29.145733740690048,1,10,12,37.17731908642496,152.77592857008193,1.4444732108737814,0.018075755486149363,7.869902830526243e-06,2.1005419625907962e-13,1.0502709812953981e-13,True,True,True,True,2296.8206692509666,0.268981202672342
100,40.0,29.145733740690048,1,15,12,37.17731908642496,152.77592857008193,1.4444732108737814,2.725770609020172e-07,4.2965075941481246e-12,2.1005419625907962e-13,1.0502709812953981e-13,True,True,True,True,63441.54058362871,0.403471804008513
100,40.0,29.145733740690048,1,22,12,37.17731908642496,152.77592857008193,1.4444732108737814,4.916168096095799e-16,4.085620730620576e-14,2.1005419625907962e-13,1.0502709812953981e-13,False,False,True,False,0.012032854785689,0.5917586458791524
100,40.0,29.145733740690048,1,33,12,37.17731908642496,152.77592857008193,1.4444732108737814,3.0717771084252833e-33,2.6201263381153694e-14,2.1005419625907962e-13,1.0502709812953981e-13,False,False,True,False,1.1723774780397733e-19,0.8876379688187286
100,40.0,29.145733740690048,1,49,12,37.17731908642496,152.77592857008193,1.4444732108737814,1.3527240075534416e-63,1.0969003483296547e-13,2.1005419625907962e-13,1.0502709812953981e-13,False,False,True,False,1.233224157156438e-50,1.3180078930944759
100,40.0,29.145733740690048,2,2,13,42.89989366070055,179.83067714935044,0.9625517088185911,677.1769567229143,0.9520099030945229,1.6497914145929826e-13,8.248957072964913e-14,True,True,True,True,711.3129333232145,0.04662016218077824
100,40.0,29.145733740690048,2,3,13,42.89989366070055,179.83067714935044,0.9625517088185911,351.3315433914958,0.7699057638958448,1.6497914145929826e-13,8.248957072964913e-14,True,True,True,True,456.3305794902778,0.06993024327116737
100,40.0,29.145733740690048,2,4,13,42.89989366070055,179.83067714935044,0.9625517088185911,159.75713213831526,0.4243630869865479,1.6497914145929826e-13,8.248957072964913e-14,True,True,True,True,376.46330945693086,0.09324032436155648
100,40.0,29.145733740690048,2,7,13,42.89989366070055,179.83067714935044,0.9625517088185911,6.425728924977707,0.012192187933526166,1.6497914145929826e-13,8.248957072964913e-14,True,True,True,True,527.0365712874382,0.16317056763272386
100,40.0,29.145733740690048,2,10,13,42.89989366070055,179.83067714935044,0.9625517088185911,0.07266364217359732,4.474693073686087e-05,1.6497914145929826e-13,8.248957072964913e-14,True,True,True,True,1623.8799170585278,0.2331008109038912
100,40.0,29.145733740690048,2,15,13,42.89989366070055,179.83067714935044,0.9625517088185911,3.278945661016892e-06,9.332179473631186e-11,1.6497914145929826e-13,8.248957072964913e-14,True,True,True,True,35135.904429204485,0.3496512163558368
100,40.0,29.145733740690048,2,22,13,42.89989366070055,179.83067714935044,0.9625517088185911,3.3925763571574034e-14,3.241851231905457e-14,1.6497914145929826e-13,8.248957072964913e-14,False,False,True,True,1.046493535473975,0.5128217839885607
100,40.0,29.145733740690048,2,33,13,42.89989366070055,179.83067714935044,0.9625517088185911,4.039043166262042e-30,2.1538326677728037e-14,1.6497914145929826e-13,8.248957072964913e-14,False,False,True,False,1.8752817833516578e-16,0.769232675982841
100,40.0,29.145733740690048,2,49,13,42.89989366070055,179.83067714935044,0.9625517088185911,1.5125488434263707e-58,8.659739592076221e-14,1.6497914145929826e-13,8.248957072964913e-14,False,False,True,False,1.7466447199063276e-45,1.142193973429067
100,40.0,29.145733740690048,3,2,13,42.84237097628373,176.41865458021482,0.7509385045523078,663.4792747910342,0.7438752578653046,1.2989609388114332e-13,6.494804694057166e-14,True,True,True,True,891.9227622854638,0.046682757149625095
100,40.0,29.145733740690048,3,3,13,42.84237097628373,176.41865458021482,0.7509385045523078,344.0153545135042,0.6091807557345923,1.2989609388114332e-13,6.494804694057166e-14,True,True,True,True,564.7180270799373,0.07002413572443764
100,40.0,29.145733740690048,3,4,13,42.84237097628373,176.41865458021482,0.7509385045523078,156.30591867270022,0.34180123288697944,1.2989609388114332e-13,6.494804694057166e-14,True,True,True,True,457.30062865040804,0.09336551429925019
100,40.0,29.145733740690048,3,7,13,42.84237097628373,176.41865458021482,0.7509385045523078,6.265090207876715,0.010355401030786027,1.2989609388114332e-13,6.494804694057166e-14,True,True,True,True,605.0070093133962,0.16338965002368783
100,40.0,29.145733740690048,3,10,13,42.84237097628373,176.41865458021482,0.7509385045523078,0.07050595779364649,3.858849413407306e-05,1.2989609388114332e-13,6.494804694057166e-14,True,True,True,True,1827.123845483019,0.23341378574812546
100,40.0,29.145733740690048,3,15,13,42.84237097628373,176.41865458021482,0.7509385045523078,3.150018284932119e-06,1.3150074432144443e-10,1.2989609388114332e-13,6.494804694057166e-14,True,True,True,True,23954.376084990956,0.3501206786221882
100,40.0,29.145733740690048,3,22,13,42.84237097628373,176.41865458021482,0.7509385045523078,3.207172280318324e-14,2.6867397195928788e-14,1.2989609388114332e-13,6.494804694057166e-14,False,False,True,True,1.193704122855751,0.513510328645876
100,40.0,29.145733740690048,3,33,13,42.84237097628373,176.41865458021482,0.7509385045523078,3.7152213685293875e-30,1.7763568394002505e-14,1.2989609388114332e-13,6.494804694057166e-14,False,False,True,False,2.0914836963634817e-16,0.7702654929688141
