d,n_informative,informative_fraction,instance,n_train,gamma,alpha,epsilon,m_certified,m_observed,exact_threshold,certified_bound,observed_at_certified,bound_holds,tolerance_holds
100,30,0.3,17,300,0.005,0.1,1e-06,4,3,50,1.8236922543465764e-07,9.601375250412048e-11,True,True
100,30,0.3,18,300,0.005,0.1,1e-06,4,3,50,7.869498002977517e-07,6.010596464989248e-10,True,True
100,30,0.3,19,300,0.005,0.1,1e-06,4,3,50,1.0280915389709277e-07,6.183853429320152e-11,True,True
100,30,0.3,20,300,0.005,0.1,1e-06,4,3,50,3.4095161709333767e-07,1.87566129294936e-10,True,True
100,30,0.3,21,300,0.005,0.1,1e-06,4,3,50,8.961855955443205e-07,1.1225362861466692e-09,True,True
100,30,0.3,22,300,0.005,0.1,1e-06,4,3,50,7.932392783544894e-07,2.816928912352523e-10,True,True
100,30,0.3,23,300,0.005,0.1,1e-06,4,3,50,4.1491662922474814e-07,6.246996253622683e-10,True,True
100,30,0.3,24,300,0.005,0.1,1e-06,4,3,50,4.6361107436468886e-07,2.3872404053548735e-10,True,True
100,30,0.3,25,300,0.005,0.1,1e-06,4,3,50,5.370404757467242e-07,2.9379276789143205e-10,True,True
100,30,0.3,26,300,0.005,0.1,1e-06,4,3,50,3.5639830626097084e-07,2.2551316369856522e-10,True,True
100,30,0.3,27,300,0.005,0.1,1e-06,4,3,50,2.2198198387890206e-07,2.7823687798189667e-10,True,True
100,30,0.3,28,300,0.005,0.1,1e-06,4,3,50,2.031592993489166e-07,2.159388223788028e-10,True,True
100,30,0.3,29,300,0.005,0.1,1e-06,4,3,50,3.7424077361706334e-07,2.4542079479772383e-10,True,True
250,75,0.3,0,300,0.005,0.1,1e-06,5,4,125,3.575488827405918e-07,7.037279092791948e-10,True,True
250,75,0.3,1,300,0.005,0.1,1e-06,6,4,125,4.710700480502412e-09,3.070654841508258e-12,True,True
250,75,0.3,2,300,0.005,0.1,1e-06,5,4,125,5.826308587353377e-07,5.078043263662124e-10,True,True
250,75,0.3,3,300,0.005,0.1,1e-06,5,4,125,7.828962789368527e-07,1.0556746032897024e-09,True,True
250,75,0.3,4,300,0.005,0.1,1e-06,5,4,125,7.385703472082795e-07,1.1195854660028814e-09,True,True
250,75,0.3,5,300,0.005,0.1,1e-06,5,4,125,5.29832567638217e-07,8.340710899723547e-10,True,True
250,75,0.3,6,300,0.005,0.1,1e-06,5,4,125,8.062128055128461e-07,1.221082068791901e-09,True,True
250,75,0.3,7,300,0.005,0.1,1e-06,5,4,125,6.594007652857226e-07,8.039311438778896e-10,True,True
250,75,0.3,8,300,0.005,0.1,1e-06,5,4,125,3.969550121268295e-07,6.864386004057366e-10,True,True
250,75,0.3,9,300,0.005,0.1,1e-06,5,4,125,6.619098376760826e-07,6.966605070601872e-10,True,True
250,75,0.3,10,300,0.005,0.1,1e-06,5,4,125,4.934731183642663e-07,7.221072628738057e-10,True,True
250,75,0.3,11,300,0.005,0.1,1e-06,5,4,125,9.360212699002315e-07,1.1625138074400354e-09,True,True
250,75,0.3,12,300,0.005,0.1,1e-06,6,4,125,6.591481048455483e-09,2.5033863870760342e-12,True,True
250,75,0.3,13,300,0.005,0.1,1e-06,5,4,125,6.933143148966341e-07,9.728539085429588e-10,True,True
250,75,0.3,14,300,0.005,0.1,1e-06,6,4,125,2.8240384457311034e-08,6.241285266384011e-12,True,True
250,75,0.3,15,300,0.005,0.1,1e-06,5,4,125,2.0455190268859512e-07,4.416936538742533e-10,True,True
250,75,0.3,16,300,0.005,0.1,1e-06,5,4,125,3.2857464552458106e-07,4.806063325091259e-10,True,True
250,75,0.3,17,300,0.005,0.1,1e-06,5,4,125,8.339998226821412e-07,9.454524385610341e-10,True,True
250,75,0.3,18,300,0.005,0.1,1e-06,5,4,125,6.178801568742395e-07,1.0606084344111366e-09,True,True
250,75,0.3,19,300,0.005,0.1,1e-06,5,4,125,5.39323694497801e-07,4.1313952259258713e-10,True,True
250,75,0.3,20,300,0.005,0.1,1e-06,5,4,125,7.114792915016583e-07,9.655839461331084e-10,True,True
250,75,0.3,21,300,0.005,0.1,1e-06,6,4,125,1.1394167026818007e-08,3.4221514511045825e-12,True,True
250,75,0.3,22,300,0.005,0.1,1e-06,5,4,125,3.1687929661158267e-07,3.488326294487365e-10,True,True
250,75,0.3,23,300,0.005,0.1,1e-06,5,4,125,9.96801134184555e-07,1.163482254984416e-09,True,True
250,75,0.3,24,300,0.005,0.1,1e-06,6,4,125,7.380173372617937e-09,2.807518106884288e-12,True,True
250,75,0.3,25,300,0.005,0.1,1e-06,6,4,125,5.051108526569117e-09,2.6834645616702346e-12,True,True
250,75,0.3,26,300,0.005,0.1,1e-06,5,4,125,3.755518706928805e-07,5.706713157582755e-10,True,True
250,75,0.3,27,300,0.005,0.1,1e-06,5,4,125,4.3429674572752657e-07,1.009524408512874e-09,True,True
250,75,0.3,28,300,0.005,0.1,1e-06,5,4,125,3.2019207649964e-07,5.122837709592432e-10,True,True
250,75,0.3,29,300,0.005,0.1,1e-06,5,4,125,4.5937273138144734e-07,6.961963783247427e-10,True,True
500,150,0.3,0,300,0.005,0.1,1e-06,7,5,250,2.5830664381058848e-08,2.5275961879067665e-11,True,True
500,150,0.3,1,300,0.005,0.1,1e-06,7,5,250,4.593105704167997e-08,5.4648285896519155e-11,True,True
500,150,0.3,2,300,0.005,0.1,1e-06,7,5,250,2.5602247551049694e-08,3.5071251458518304e-11,True,True
500,150,0.3,3,300,0.005,0.1,1e-06,7,5,250,3.254188189889687e-08,2.8338942303918202e-11,True,True
500,150,0.3,4,300,0.005,0.1,1e-06,7,5,250,1.376071681089246e-08,2.583872005246235e-11,True,True
500,150,0.3,5,300,0.005,0.1,1e-06,7,5,250,1.9529500140150197e-08,1.7734619328635404e-11,True,True
500,150,0.3,6,300,0.005,0.1,1e-06,7,5,250,8.11845581598465e-08,5.834002725357834e-11,True,True
500,150,0.3,7,300,0.005,0.1,1e-06,7,5,250,1.0635351407198204e-08,2.265294896108827e-11,True,True
500,150,0.3,8,300,0.005,0.1,1e-06,7,5,250,3.279694743833255e-08,4.1264214267755506e-11,True,True
500,150,0.3,9,300,0.005,0.1,1e-06,7,5,250,2.62319633606574e-08,2.267308563119741e-11,True,True
500,150,0.3,10,300,0.005,0.1,1e-06,7,5,250,2.152857502181244e-08,5.1149418034412975e-11,True,True
500,150,0.3,11,300,0.005,0.1,1e-06,6,5,250,8.269498302074627e-07,1.9106470294794065e-09,True,True
500,150,0.3,12,300,0.005,0.1,1e-06,7,5,250,2.368702679871615e-08,3.6998348829087035e-11,True,True
500,150,0.3,13,300,0.005,0.1,1e-06,7,5,250,2.966704198416665e-08,3.806399639927349e-11,True,True
500,150,0.3,14,300,0.005,0.1,1e-06,7,6,250,7.016405553796883e-08,1.436101793039768e-10,True,True
500,150,0.3,15,300,0.005,0.1,1e-06,7,5,250,1.9187666665824187e-08,2.7817859127310385e-11,True,True
