d,instance,m_q,exact_threshold,n_train,n_informative,gamma_scale,certified_error,observed_error,rounding_floor,above_floor,informative,holds,holds_strict
100,0,1,50,300,30,10.0,458.54519144665574,1.2456622956185575,1.141309269314661e-13,True,True,True,True
100,0,2,50,300,30,10.0,196.1158633261928,0.9854084539964656,1.141309269314661e-13,True,True,True,True
100,0,3,50,300,30,10.0,64.87939684887284,0.3952690992633192,1.141309269314661e-13,True,True,True,True
100,0,4,50,300,30,10.0,16.35630578828021,0.09085004719271961,1.141309269314661e-13,True,True,True,True
100,0,5,50,300,30,10.0,3.151961079632625,0.013441210359750544,1.141309269314661e-13,True,True,True,True
100,0,6,50,300,30,10.0,0.4703494418851334,0.001354910026692302,1.141309269314661e-13,True,True,True,True
100,0,8,50,300,30,10.0,0.0052079102980489966,5.006306494692581e-06,1.141309269314661e-13,True,True,True,True
100,0,10,50,300,30,10.0,2.543270022463773e-05,5.6275220039481155e-09,1.141309269314661e-13,True,True,True,True
100,0,12,50,300,30,10.0,6.157493717960925e-08,2.227995565817764e-12,1.141309269314661e-13,True,True,True,True
100,0,16,50,300,30,10.0,6.27071073961708e-14,2.6201263381153694e-14,1.141309269314661e-13,False,False,True,True
100,1,1,50,300,30,10.0,357.83433444580214,0.8068843207876615,6.372680161348399e-14,True,True,True,True
100,1,2,50,300,30,10.0,143.18803624921955,0.5624387222151921,6.372680161348399e-14,True,True,True,True
100,1,3,50,300,30,10.0,42.94683432365668,0.1837204171372343,6.372680161348399e-14,True,True,True,True
100,1,4,50,300,30,10.0,9.536458751281799,0.03391828327089175,6.372680161348399e-14,True,True,True,True
100,1,5,50,300,30,10.0,1.5811104851030873,0.00398853886657935,6.372680161348399e-14,True,True,True,True
100,1,6,50,300,30,10.0,0.19937602135560425,0.00031710421054753635,6.372680161348399e-14,True,True,True,True
100,1,8,50,300,30,10.0,0.0015190786532496793,7.10712907525668e-07,6.372680161348399e-14,True,True,True,True
100,1,10,50,300,30,10.0,4.948525056709244e-06,4.5851888952341824e-10,6.372680161348399e-14,True,True,True,True
100,1,12,50,300,30,10.0,7.846764278034052e-09,1.1679546219056647e-13,6.372680161348399e-14,True,True,True,True
100,1,16,50,300,30,10.0,3.3250115235334027e-15,1.509903313490213e-14,6.372680161348399e-14,False,False,True,False
100,2,1,50,300,30,10.0,506.2999514781216,1.3850295450645804,1.127986593019159e-13,True,True,True,True
100,2,2,50,300,30,10.0,223.91147314700694,1.0144354781874072,1.127986593019159e-13,True,True,True,True
100,2,3,50,300,30,10.0,77.80748460389103,0.35837008389825575,1.127986593019159e-13,True,True,True,True
100,2,4,50,300,30,10.0,20.912631824006294,0.0763928563198315,1.127986593019159e-13,True,True,True,True
100,2,5,50,300,30,10.0,4.350592066625116,0.010903063438375327,1.127986593019159e-13,True,True,True,True
100,2,6,50,300,30,10.0,0.70783476159157,0.0010693780371919814,1.127986593019159e-13,True,True,True,True
100,2,8,50,300,30,10.0,0.009515197569698921,4.02173618740953e-06,1.127986593019159e-13,True,True,True,True
100,2,10,50,300,30,10.0,5.745347087109136e-05,5.9994984535904905e-09,1.127986593019159e-13,True,True,True,True
100,2,12,50,300,30,10.0,1.7389931743661856e-07,4.0914216459242425e-12,1.127986593019159e-13,True,True,True,True
100,2,16,50,300,30,10.0,2.82016436961978e-13,2.5757174171303632e-14,1.127986593019159e-13,False,True,True,True
100,3,1,50,300,30,10.0,501.7912964048219,1.0584661746708222,9.903189379656396e-14,True,True,True,True
100,3,2,50,300,30,10.0,223.22481335503673,0.8630038167672691,9.903189379656396e-14,True,True,True,True
100,3,3,50,300,30,10.0,78.23987502412373,0.36791232956095266,9.903189379656396e-14,True,True,True,True
100,3,4,50,300,30,10.0,21.266561149234203,0.09084294209484933,9.903189379656396e-14,True,True,True,True
100,3,5,50,300,30,10.0,4.484277344490651,0.014612119354942221,9.903189379656396e-14,True,True,True,True
100,3,6,50,300,30,10.0,0.7408187169894432,0.001622273211048908,9.903189379656396e-14,True,True,True,True
100,3,8,50,300,30,10.0,0.010307536280849502,7.560373806336784e-06,9.903189379656396e-14,True,True,True,True
100,3,10,50,300,30,10.0,6.463806317064131e-05,1.4046328905559236e-08,9.903189379656396e-14,True,True,True,True
100,3,12,50,300,30,10.0,2.0361526740906877e-07,9.064832218186325e-12,9.903189379656396e-14,True,True,True,True
100,3,16,50,300,30,10.0,3.5893268504793036e-13,2.4202861936828413e-14,9.903189379656396e-14,False,True,True,True
100,4,1,50,300,30,10.0,514.8673115170146,1.2855999043488031,1.0436096431476471e-13,True,True,True,True
100,4,2,50,300,30,10.0,213.10100563538924,0.9251828566275622,1.0436096431476471e-13,True,True,True,True
100,4,3,50,300,30,10.0,67.17729877914498,0.31452182271691353,1.0436096431476471e-13,True,True,True,True
100,4,4,50,300,30,10.0,15.907665860816547,0.06013483552415244,1.0436096431476471e-13,True,True,True,True
100,4,5,50,300,30,10.0,2.8456380061017095,0.007284811206312192,1.0436096431476471e-13,True,True,True,True
100,4,6,50,300,30,10.0,0.390596529090516,0.0005941682669621251,1.0436096431476471e-13,True,True,True,True
100,4,8,50,300,30,10.0,0.0035902926311290467,1.3970961898479572e-06,1.0436096431476471e-13,True,True,True,True
100,4,10,50,300,30,10.0,1.4322429328133145e-05,9.539682377379677e-10,1.0436096431476471e-13,True,True,True,True
100,4,12,50,300,30,10.0,2.8055806315477406e-08,2.362554596402333e-13,1.0436096431476471e-13,True,True,True,True
100,4,16,50,300,30,10.0,1.840664514552643e-14,2.5757174171303632e-14,1.0436096431476471e-13,False,False,True,False
100,5,1,50,300,30,10.0,477.59881192423086,1.1482113388721782,8.881784197001252e-14,True,True,True,True
100,5,2,50,300,30,10.0,192.78500466228218,0.8041902569275085,8.881784197001252e-14,True,True,True,True
100,5,3,50,300,30,10.0,58.57040444086308,0.262912381693427,8.881784197001252e-14,True,True,True,True
100,5,4,50,300,30,10.0,13.22310385916081,0.048286019923200474,8.881784197001252e-14,True,True,True,True
100,5,5,50,300,30,10.0,2.235607428474951,0.005616262156343144,8.881784197001252e-14,True,True,True,True
100,5,6,50,300,30,10.0,0.28811160249066475,0.00044051986517534836,8.881784197001252e-14,True,True,True,True
100,5,8,50,300,30,10.0,0.0023031956514434396,9.786430861247197e-07,8.881784197001252e-14,True,True,True,True
100,5,10,50,300,30,10.0,7.90134462690423e-06,6.789144801899738e-10,8.881784197001252e-14,True,True,True,True
100,5,12,50,300,30,10.0,1.3222924222012248e-08,1.9517720772910252e-13,8.881784197001252e-14,True,True,True,True
100,5,16,50,300,30,10.0,6.263137991009536e-15,2.1538326677728037e-14,8.881784197001252e-14,False,False,True,False
100,6,1,50,300,30,10.0,395.2598414579611,1.267981604523825,1.0480505352461478e-13,True,True,True,True
100,6,2,50,300,30,10.0,171.71968765793005,0.9387838596073046,1.0480505352461478e-13,True,True,True,True
100,6,3,50,300,30,10.0,58.13228091732977,0.33814386382592687,1.0480505352461478e-13,True,True,True,True
100,6,4,50,300,30,10.0,15.101233480587224,0.06945174233980089,1.0480505352461478e-13,True,True,True,True
100,6,5,50,300,30,10.0,3.0160944601535946,0.009150991679404807,1.0480505352461478e-13,True,True,True,True
100,6,6,50,300,30,10.0,0.468601231923595,0.0008205856477467854,1.0480505352461478e-13,True,True,True,True
100,6,8,50,300,30,10.0,0.005679064154792255,2.412314147992589e-06,1.0480505352461478e-13,True,True,True,True
100,6,10,50,300,30,10.0,3.060868246398967e-05,3.841084658673388e-09,1.0480505352461478e-13,True,True,True,True
100,6,12,50,300,30,10.0,8.219946184214891e-08,2.5862229025008787e-12,1.0480505352461478e-13,True,True,True,True
100,6,16,50,300,30,10.0,1.0386555938727907e-13,2.4424906541753444e-14,1.0480505352461478e-13,False,False,True,True
100,7,1,50,300,30,10.0,371.6937064125437,1.7744902862913836,1.3722356584366935e-13,True,True,True,True
100,7,2,50,300,30,10.0,154.20977436046,1.251830855343084,1.3722356584366935e-13,True,True,True,True
100,7,3,50,300,30,10.0,48.78378258102936,0.4166231353369174,1.3722356584366935e-13,True,True,True,True
100,7,4,50,300,30,10.0,11.604772212901896,0.07881243389126658,1.3722356584366935e-13,True,True,True,True
100,7,5,50,300,30,10.0,2.0871494801966564,0.009599489542374995,1.3722356584366935e-13,True,True,True,True
100,7,6,50,300,30,10.0,0.2882218100087632,0.000803883953659934,1.3722356584366935e-13,True,True,True,True
100,7,8,50,300,30,10.0,0.0026850714548270938,2.148864392204075e-06,1.3722356584366935e-13,True,True,True,True
100,7,10,50,300,30,10.0,1.0868157189605468e-05,1.8616010954985995e-09,1.3722356584366935e-13,True,True,True,True
100,7,12,50,300,30,10.0,2.161532268235031e-08,6.121769757783113e-13,1.3722356584366935e-13,True,True,True,True
100,7,16,50,300,30,10.0,1.4634860614135632e-14,3.086420008457935e-14,1.3722356584366935e-13,False,False,True,False
100,8,1,50,300,30,10.0,290.7057770568984,1.277813313790947,9.325873406851315e-14,True,True,True,True
100,8,2,50,300,30,10.0,109.99782921009911,0.8123401005350902,9.325873406851315e-14,True,True,True,True
100,8,3,50,300,30,10.0,30.379171395964878,0.23177155485122936,9.325873406851315e-14,True,True,True,True
100,8,4,50,300,30,10.0,6.0676219585216025,0.03714796680383148,9.325873406851315e-14,True,True,True,True
